rank,name,platform_code,year,genre,publisher,NA_sales,EU_sales,JP_sales,Other_sales
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,0,2.05
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62
317,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.87,1.57,1.05,0.35
339,Friend Collection,DS,2009,Misc,Nintendo,0,0,3.67,0
377,Clubhouse Games,DS,2006,Misc,Nintendo,0.59,1.83,0.73,0.35
381,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.11,1.01,0.01,0.35
403,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02
433,Rhythm Heaven,DS,2008,Misc,Nintendo,0.58,0.51,1.93,0.14
445,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.91,1,1.03,0.17
599,Art Academy,DS,2010,Misc,Nintendo,0.28,1.68,0.33,0.28
824,Carnival Games,DS,2008,Misc,Take-Two Interactive,1.23,0.64,0,0.19
1045,Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.41,0,0.15
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0,0,1.71,0
1151,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.4,0.99,0,0.22
1172,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.85,0.58,0,0.16
1177,High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.64,0.76,0,0.17
1333,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0,0.18
1334,Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.79,0.53,0,0.13
1441,Namco Museum DS,DS,2007,Misc,Atari,1.18,0.01,0.06,0.09
1775,High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,0.5,0.52,0,0.13
1943,Junior Brain Trainer,DS,2008,Misc,GSP,0.23,0.74,0,0.1
2051,Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0,0,1.01,0
2155,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.72,0.17,0,0.07
2360,Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0,0.82,0,0.06
2400,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0,0.08
2586,Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0,0.06
2702,Super Monkey Ball: Touch & Roll,DS,2005,Misc,Sega,0.7,0.01,0,0.06
2806,Practise English!,DS,2007,Misc,Nintendo,0,0,0.73,0
3008,100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0,0.02
